owner,name,url,stars,createdAt,idade_dias,updatedAt,dias_desde_ultima_atualizacao,releases,prsMerged,issuesTotal,issuesClosed,closedRatio,primaryLanguage
freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,426051,2014-12-24T17:49:19Z,3891,2025-08-19T20:21:23Z,0,0,25716,19824,19631,0.9903,TypeScript
codecrafters-io,build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,412034,2018-05-09T12:03:18Z,2659,2025-08-19T21:05:30Z,0,0,142,821,595,0.7247,Markdown
sindresorhus,awesome,https://github.com/sindresorhus/awesome,393205,2014-07-11T13:42:37Z,4057,2025-08-19T21:01:03Z,0,0,679,353,340,0.9632,
EbookFoundation,free-programming-books,https://github.com/EbookFoundation/free-programming-books,365393,2013-10-11T06:50:37Z,4330,2025-08-19T20:55:17Z,0,0,6820,1181,1150,0.9738,Python
public-apis,public-apis,https://github.com/public-apis/public-apis,361901,2016-03-20T23:49:42Z,3438,2025-08-19T20:43:37Z,0,0,1872,711,703,0.9887,Python
kamranahmedse,developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,334118,2017-03-15T13:45:52Z,3079,2025-08-19T20:40:55Z,0,1,3679,2941,2693,0.9157,TypeScript
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,324515,2016-06-06T02:34:12Z,3361,2025-08-19T20:43:49Z,0,0,415,516,453,0.8779,
donnemartin,system-design-primer,https://github.com/donnemartin/system-design-primer,316526,2017-02-26T16:15:28Z,3096,2025-08-19T20:49:32Z,0,0,200,339,91,0.2684,Python
996icu,996.ICU,https://github.com/996icu/996.ICU,274093,2019-03-26T07:31:14Z,2338,2025-08-19T18:19:36Z,0,0,1067,0,0,0.0,
vinta,awesome-python,https://github.com/vinta/awesome-python,255793,2014-06-27T21:00:06Z,4071,2025-08-19T20:32:56Z,0,0,544,0,0,0.0,Python
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,242663,2015-06-01T02:33:17Z,3732,2025-08-19T20:37:13Z,0,1,2394,806,806,1.0,
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,240192,2017-04-12T05:07:46Z,3051,2025-08-19T21:00:10Z,0,0,182,209,79,0.378,
facebook,react,https://github.com/facebook/react,238225,2013-05-24T16:15:54Z,4470,2025-08-19T20:50:17Z,0,105,12111,13990,13192,0.943,JavaScript
vuejs,vue,https://github.com/vuejs/vue,209278,2013-07-29T03:24:51Z,4404,2025-08-19T20:24:54Z,0,249,1133,10028,9673,0.9646,TypeScript
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,204190,2016-07-16T09:44:01Z,3321,2025-08-19T20:48:38Z,0,0,2976,1587,1511,0.9521,Python
torvalds,linux,https://github.com/torvalds/linux,200177,2011-09-04T22:48:12Z,5097,2025-08-19T21:02:11Z,0,0,10,0,0,0.0,C
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,193040,2018-03-24T07:47:04Z,2705,2025-08-19T19:11:00Z,0,0,302,366,229,0.6257,JavaScript
tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,191236,2015-11-07T01:19:20Z,3573,2025-08-19T20:46:07Z,0,219,35906,40730,39837,0.9781,C++
ossu,computer-science,https://github.com/ossu/computer-science,190606,2014-05-04T00:18:39Z,4125,2025-08-19T21:05:48Z,0,0,298,652,638,0.9785,HTML
getify,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,182977,2013-11-16T02:37:24Z,4294,2025-08-19T20:16:41Z,0,0,368,944,863,0.9142,
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,182905,2018-06-23T10:43:14Z,2614,2025-08-19T21:01:09Z,0,0,122,0,0,0.0,
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,181515,2018-02-13T14:56:24Z,2744,2025-08-19T19:17:57Z,0,0,374,571,448,0.7846,
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,180810,2009-08-28T18:15:37Z,5835,2025-08-19T18:49:03Z,0,0,3377,4966,4826,0.9718,Shell
Significant-Gravitas,AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,177917,2023-03-16T09:21:07Z,887,2025-08-19T20:07:11Z,0,67,3190,3391,3227,0.9516,Python
microsoft,vscode,https://github.com/microsoft/vscode,175901,2015-09-03T20:23:38Z,3638,2025-08-19T20:59:15Z,0,176,36133,205103,192999,0.941,TypeScript
twbs,bootstrap,https://github.com/twbs/bootstrap,172860,2011-07-29T21:19:00Z,5134,2025-08-19T20:50:10Z,0,93,8970,22750,22344,0.9822,MDX
flutter,flutter,https://github.com/flutter/flutter,171948,2015-03-06T22:54:58Z,3818,2025-08-19T20:41:31Z,0,7,43772,108741,96852,0.8907,Dart
jackfrued,Python-100-Days,https://github.com/jackfrued/Python-100-Days,171055,2018-03-01T16:05:52Z,2728,2025-08-19T20:28:57Z,0,0,13,691,118,0.1708,Jupyter Notebook
github,gitignore,https://github.com/github/gitignore,168744,2010-11-08T20:17:14Z,5398,2025-08-19T19:28:47Z,0,0,1713,0,0,0.0,
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,157843,2015-05-20T15:11:03Z,3744,2025-08-19T19:28:17Z,0,0,317,258,136,0.5271,
AUTOMATIC1111,stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,155746,2022-08-22T14:05:26Z,1093,2025-08-19T21:02:18Z,0,27,1874,7830,5467,0.6982,Python
Snailclimb,JavaGuide,https://github.com/Snailclimb/JavaGuide,151334,2018-05-07T13:27:00Z,2661,2025-08-19T17:00:05Z,0,0,1179,1104,1032,0.9348,Java
ollama,ollama,https://github.com/ollama/ollama,150506,2023-06-26T19:39:32Z,785,2025-08-19T20:39:11Z,0,142,2465,7964,6201,0.7786,Go
avelino,awesome-go,https://github.com/avelino/awesome-go,150324,2014-07-06T13:42:15Z,4062,2025-08-19T20:39:25Z,0,0,3457,687,681,0.9913,Go
huggingface,transformers,https://github.com/huggingface/transformers,148517,2018-10-29T13:56:00Z,2486,2025-08-19T20:57:08Z,0,222,16617,17801,16717,0.9391,Python
airbnb,javascript,https://github.com/airbnb/javascript,147277,2012-11-01T23:13:50Z,4673,2025-08-19T18:24:12Z,0,0,810,1366,1269,0.929,JavaScript
massgravel,Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,145250,2020-01-12T23:03:34Z,2045,2025-08-19T20:53:02Z,0,24,6,720,720,1.0,Batchfile
ytdl-org,youtube-dl,https://github.com/ytdl-org/youtube-dl,136906,2010-10-31T14:35:07Z,5406,2025-08-19T19:07:08Z,0,341,1642,26768,23125,0.8639,Python
vercel,next.js,https://github.com/vercel/next.js,133866,2016-10-05T23:32:51Z,3239,2025-08-19T20:56:53Z,0,1000,23604,23356,21033,0.9005,JavaScript
f,awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,132868,2022-12-05T13:54:13Z,988,2025-08-19T21:06:24Z,0,0,171,0,0,0.0,JavaScript
n8n-io,n8n,https://github.com/n8n-io/n8n,130971,2019-06-22T09:24:21Z,2250,2025-08-19T21:05:46Z,0,380,10591,5123,4516,0.8815,TypeScript
golang,go,https://github.com/golang/go,129482,2014-08-19T04:33:40Z,4018,2025-08-19T20:39:46Z,0,0,1,67915,58736,0.8648,Go
labuladong,fucking-algorithm,https://github.com/labuladong/fucking-algorithm,128938,2020-02-19T09:01:23Z,2008,2025-08-19T16:19:28Z,0,1,238,918,916,0.9978,Markdown
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,128630,2016-07-05T05:00:48Z,3332,2025-08-19T19:40:30Z,0,0,481,115,74,0.6435,TypeScript
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,126787,2017-11-21T18:00:27Z,2828,2025-08-19T19:55:31Z,0,47,113,5614,3167,0.5641,C
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,125623,2016-05-04T06:24:11Z,3394,2025-08-19T20:38:33Z,0,57,16,2839,2626,0.925,Python
Chalarangelo,30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,124948,2017-11-29T17:35:03Z,2820,2025-08-19T20:40:58Z,0,12,826,300,300,1.0,JavaScript
facebook,react-native,https://github.com/facebook/react-native,123470,2015-01-09T18:10:16Z,3875,2025-08-19T20:23:10Z,0,410,930,27199,26541,0.9758,C++
yt-dlp,yt-dlp,https://github.com/yt-dlp/yt-dlp,123034,2020-10-26T04:22:55Z,1758,2025-08-19T21:04:42Z,0,116,2888,9751,8147,0.8355,Python
microsoft,PowerToys,https://github.com/microsoft/PowerToys,122344,2019-05-01T17:44:02Z,2302,2025-08-19T21:02:45Z,0,117,5630,34528,27535,0.7975,C#
electron,electron,https://github.com/electron/electron,117942,2013-04-12T01:47:36Z,4512,2025-08-19T19:04:57Z,0,1000,23240,21044,20290,0.9642,C++
kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,116965,2014-06-06T22:56:04Z,4091,2025-08-19T20:43:59Z,0,754,62231,47683,45771,0.9599,Go
krahets,hello-algo,https://github.com/krahets/hello-algo,115560,2022-11-04T11:08:34Z,1019,2025-08-19T18:05:41Z,0,9,945,269,257,0.9554,Java
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,115012,2013-11-04T01:59:19Z,4306,2025-08-19T17:03:24Z,0,3,282,0,0,0.0,
langchain-ai,langchain,https://github.com/langchain-ai/langchain,113815,2022-10-17T02:58:36Z,1037,2025-08-19T21:00:06Z,0,946,14479,8637,8431,0.9761,Jupyter Notebook
nodejs,node,https://github.com/nodejs/node,112818,2014-11-26T19:57:11Z,3919,2025-08-19T20:23:08Z,0,455,10739,19447,17728,0.9116,JavaScript
langgenius,dify,https://github.com/langgenius/dify,111441,2023-04-12T07:40:24Z,860,2025-08-19T20:09:54Z,0,140,7019,12515,11818,0.9443,TypeScript
d3,d3,https://github.com/d3/d3,111306,2010-09-27T17:22:42Z,5440,2025-08-19T20:57:35Z,0,194,493,2229,2220,0.996,Shell
ripienaar,free-for-dev,https://github.com/ripienaar/free-for-dev,110403,2015-03-18T21:06:26Z,3807,2025-08-19T20:49:23Z,0,0,2757,0,0,0.0,HTML
mrdoob,three.js,https://github.com/mrdoob/three.js,108180,2010-03-23T18:58:01Z,5628,2025-08-19T19:21:35Z,0,171,14381,13168,12720,0.966,JavaScript
axios,axios,https://github.com/axios/axios,107417,2014-08-18T22:30:27Z,4018,2025-08-19T19:21:32Z,0,97,1000,4843,4570,0.9436,JavaScript
open-webui,open-webui,https://github.com/open-webui/open-webui,107152,2023-10-06T22:08:27Z,682,2025-08-19T20:54:56Z,0,119,2496,6143,5949,0.9684,JavaScript
rust-lang,rust,https://github.com/rust-lang/rust,105882,2010-06-16T20:39:03Z,5543,2025-08-19T20:01:39Z,0,140,65560,59208,48568,0.8203,Rust
microsoft,TypeScript,https://github.com/microsoft/TypeScript,105640,2014-06-17T15:28:39Z,4081,2025-08-19T20:24:10Z,0,212,14674,42443,36853,0.8683,TypeScript
excalidraw,excalidraw,https://github.com/excalidraw/excalidraw,105628,2020-01-02T01:04:43Z,2056,2025-08-19T20:59:45Z,0,14,3695,4239,2402,0.5666,TypeScript
goldbergyoni,nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,103952,2017-09-15T08:33:19Z,2895,2025-08-19T19:33:40Z,0,0,765,328,285,0.8689,Dockerfile
denoland,deno,https://github.com/denoland/deno,103944,2018-05-15T01:34:26Z,2653,2025-08-19T20:47:08Z,0,341,13325,13173,10902,0.8276,Rust
facebook,create-react-app,https://github.com/facebook/create-react-app,103441,2016-07-17T14:55:11Z,3320,2025-08-19T16:37:18Z,0,83,1949,8400,6567,0.7818,JavaScript
langflow-ai,langflow,https://github.com/langflow-ai/langflow,102831,2023-02-08T22:28:03Z,922,2025-08-19T21:05:45Z,0,262,4610,2685,2256,0.8402,Python
GrowingGit,GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,101258,2019-09-05T03:01:56Z,2175,2025-08-19T18:57:53Z,0,0,0,340,161,0.4735,Java
godotengine,godot,https://github.com/godotengine/godot,100396,2014-01-04T16:05:36Z,4245,2025-08-19T19:33:45Z,0,61,38688,58080,45989,0.7918,C++
microsoft,terminal,https://github.com/microsoft/terminal,99251,2017-08-11T18:38:22Z,2930,2025-08-19T20:26:05Z,0,136,4185,13459,11859,0.8811,C++
deepseek-ai,DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,98686,2024-12-26T09:52:40Z,236,2025-08-19T19:37:40Z,0,1,21,583,555,0.952,Python
angular,angular,https://github.com/angular/angular,98507,2014-09-18T16:12:01Z,3988,2025-08-19T20:59:53Z,0,467,3877,29471,28008,0.9504,TypeScript
fatedier,frp,https://github.com/fatedier/frp,97607,2015-12-21T15:24:59Z,3529,2025-08-19T20:07:44Z,0,106,683,3900,3837,0.9838,Go
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,97274,2013-12-15T14:31:41Z,4265,2025-08-19T20:06:00Z,0,0,437,246,245,0.9959,Shell
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,96488,2016-03-30T15:47:10Z,3429,2025-08-19T20:45:34Z,0,0,34,0,0,0.0,
mui,material-ui,https://github.com/mui/material-ui,96401,2014-08-18T19:11:54Z,4019,2025-08-19T17:54:40Z,0,547,20795,20168,18550,0.9198,TypeScript
iptv-org,iptv,https://github.com/iptv-org/iptv,96367,2018-11-14T22:00:57Z,2469,2025-08-19T20:55:49Z,0,0,6669,14808,14331,0.9678,TypeScript
rustdesk,rustdesk,https://github.com/rustdesk/rustdesk,95971,2020-09-28T15:36:08Z,1786,2025-08-19T21:05:27Z,0,31,3632,3592,3536,0.9844,Rust
tauri-apps,tauri,https://github.com/tauri-apps/tauri,95712,2019-07-13T09:09:37Z,2229,2025-08-19T20:20:39Z,0,1000,5165,5765,4641,0.805,Rust
ant-design,ant-design,https://github.com/ant-design/ant-design,95697,2015-04-24T15:37:24Z,3770,2025-08-19T19:44:02Z,0,714,15764,31614,30386,0.9612,TypeScript
microsoft,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,95221,2023-06-19T16:28:59Z,792,2025-08-19T20:57:13Z,0,0,376,176,165,0.9375,Jupyter Notebook
nvbn,thefuck,https://github.com/nvbn/thefuck,93570,2015-04-08T15:08:04Z,3786,2025-08-19T20:40:23Z,0,17,481,759,472,0.6219,Python
ryanmcdermott,clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,93366,2016-11-25T22:25:41Z,3188,2025-08-19T19:34:51Z,0,0,149,235,163,0.6936,JavaScript
shadcn-ui,ui,https://github.com/shadcn-ui/ui,93220,2023-01-04T12:43:27Z,958,2025-08-19T21:04:52Z,0,52,636,3342,2376,0.711,TypeScript
Anduin2017,HowToCook,https://github.com/Anduin2017/HowToCook,92557,2020-02-29T10:43:49Z,1998,2025-08-19T20:31:44Z,0,4,586,780,346,0.4436,Dockerfile
pytorch,pytorch,https://github.com/pytorch/pytorch,92514,2016-08-13T05:26:41Z,3293,2025-08-19T20:51:19Z,0,61,6192,53194,37709,0.7089,Python
iluwatar,java-design-patterns,https://github.com/iluwatar/java-design-patterns,92511,2014-08-09T16:45:18Z,4028,2025-08-19T15:31:05Z,0,0,1507,959,830,0.8655,Java
neovim,neovim,https://github.com/neovim/neovim,92092,2014-01-31T13:39:22Z,4218,2025-08-19T20:39:22Z,0,45,16124,13115,11471,0.8746,Vim Script
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,91771,2017-05-09T22:16:13Z,3023,2025-08-19T20:28:01Z,0,557,5416,7217,6950,0.963,TypeScript
