repo,stars,releases,age_years,files,code,comment,n_classes,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
Snailclimb/JavaGuide,151536,0,7.325013,0,0,0,0,,,,,,,,,
krahets/hello-algo,116020,9,2.829726,255,12483,4740,215,1.874419,2.0,1.512579,1.0,1.0,0.0,4.706977,1.0,10.457868
GrowingGit/GitHub-Chinese-Top-Charts,101816,0,5.995606,1,5,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
iluwatar/java-design-patterns,92609,0,11.067278,1813,47806,58381,1894,3.363252,3.0,2.598313,1.197466,1.0,0.526201,1.840549,0.0,6.473068
macrozheng/mall,81450,3,7.41676,526,65769,3050,760,3.934211,3.0,4.966914,1.239474,1.0,0.439211,1110.803947,13.0,8155.555246
spring-projects/spring-boot,78279,320,12.871717,453,29306,14631,13108,5.385719,4.0,6.312274,1.293866,1.0,0.783305,12.879387,0.0,103.949814
doocs/advanced-java,78191,1,6.909066,1,5,3,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
MisterBooo/LeetCodeAnimation,76434,0,6.74247,11,265,16,4,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
elastic/elasticsearch,73699,206,15.565956,0,0,0,0,,,,,,,,,
Stirling-Tools/Stirling-PDF,64919,135,2.598921,459,50877,5523,585,8.208547,5.0,8.042328,1.232479,1.0,0.558838,16.724786,0.0,73.078522
kdn251/interviews,64431,0,8.548277,334,7743,4446,257,1.194553,1.0,1.253546,1.003891,1.0,0.062378,0.291829,0.0,0.929366
TheAlgorithms/Java,63235,0,9.132348,1313,66781,23892,1505,2.062458,2.0,1.456855,1.043854,1.0,0.279039,7.966113,1.0,27.335452
NationalSecurityAgency/ghidra,59884,46,6.510273,0,0,0,0,,,,,,,,,
spring-projects/spring-framework,58768,341,14.737444,3556,335287,177984,18312,5.232361,3.0,6.791705,1.475754,1.0,1.52315,29.570173,0.0,271.047451
