repo,n_classes,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
doocs/advanced-java,1,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
GrowingGit/GitHub-Chinese-Top-Charts,1,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
Snailclimb/JavaGuide,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
kdn251/interviews,257,1.194553,1.000000,1.253546,1.003891,1.000000,0.062378,0.291829,0.000000,0.929366
macrozheng/mall,760,3.934211,3.000000,4.966914,1.239474,1.000000,0.439211,1110.803947,13.000000,8155.555246
elastic/elasticsearch,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
termux/termux-app,321,5.909657,4.000000,7.184267,1.429907,1.000000,0.704168,61.006231,0.000000,237.909870
skylot/jadx,2883,4.457856,3.000000,6.706487,1.667014,1.000000,1.261221,32.219910,0.000000,328.918013
google/guava,6410,4.042278,2.000000,5.654613,1.802184,1.000000,2.257947,48.201404,0.000000,448.818263
alibaba/arthas,952,4.734244,3.000000,5.888891,1.356092,1.000000,0.719479,36.663866,1.000000,172.799387
apache/dubbo,4888,5.418781,4.000000,5.806542,1.292758,1.000000,0.710364,46.238953,1.000000,438.105498
eugenp/tutorials,23841,4.119836,3.000000,4.001387,1.111698,1.000000,0.419109,5.969548,0.000000,40.665901
airbnb/lottie-android,293,6.897611,5.000000,8.312997,1.286689,1.000000,0.646164,33.412969,0.000000,283.155102
Blankj/AndroidUtilCode,670,4.168657,2.000000,5.562250,1.364179,1.000000,0.835623,144.953731,0.000000,960.505091
bumptech/glide,1521,5.978304,4.000000,6.487046,1.237344,1.000000,0.803495,19.913215,0.000000,157.450762
YunaiV/ruoyi-vue-pro,3748,7.896211,6.000000,7.466581,1.224120,1.000000,0.441913,16.288154,0.000000,506.384771
ityouknow/spring-boot-examples,307,4.726384,4.000000,3.104401,1.026059,1.000000,0.159570,5.032573,0.000000,16.349499
crossoverJie/JCSprout,162,1.962963,1.000000,1.857966,1.092593,1.000000,0.366375,1.765432,0.000000,6.358389
ashishps1/awesome-system-design-resources,11,0.818182,1.000000,0.603023,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
scwang90/SmartRefreshLayout,341,6.651026,3.000000,7.591302,1.507331,1.000000,0.849276,30.319648,0.000000,295.047405
keycloak/keycloak,8698,6.866291,4.000000,8.264454,1.541159,1.000000,1.038290,73.196367,3.000000,992.437676
Anuken/Mindustry,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
redisson/redisson,2854,5.959355,3.000000,10.733774,1.342327,1.000000,0.761993,180.474422,0.000000,1618.795485
iBotPeaches/Apktool,171,6.011696,5.000000,5.250197,1.783626,2.000000,1.059950,57.596491,1.000000,307.649908
elunez/eladmin,282,8.014184,5.000000,7.683217,1.163121,1.000000,0.448392,6.202128,0.000000,19.223677
CarGuo/GSYVideoPlayer,636,5.485849,2.000000,6.822943,1.575472,1.000000,1.518068,55.355346,0.000000,309.227719
alibaba/druid,5839,5.089399,4.000000,12.953611,1.942456,2.000000,0.835437,230.597876,0.000000,5179.406398
ReactiveX/RxAndroid,55,2.272727,1.000000,3.788162,1.127273,1.000000,0.432672,3.090909,0.000000,11.233668
NationalSecurityAgency/ghidra,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
xiaojieonly/Ehviewer_CN_SXJ,910,6.884615,4.000000,9.822679,1.716484,1.000000,1.240521,68.750549,1.000000,661.490814
kestra-io/kestra,1919,8.203231,6.000000,8.773263,1.451277,1.000000,0.787412,14.930172,0.000000,90.903880
Tencent/tinker,520,4.794231,3.000000,7.117102,1.603846,1.000000,2.505636,28.471154,0.000000,110.991898
antlr/antlr4,662,5.773414,3.000000,7.225984,1.835347,1.000000,1.166251,48.302115,0.000000,192.863428
nostra13/Android-Universal-Image-Loader,140,4.864286,3.000000,4.877213,1.585714,1.000000,0.959509,28.842857,0.500000,99.818992
jenkinsci/jenkins,4107,6.240078,4.000000,8.489604,1.896762,2.000000,1.769487,46.241782,0.000000,915.727580
gyoogle/tech-interview-for-developer,13,1.307692,1.000000,0.751068,1.000000,1.000000,0.000000,0.923077,0.000000,3.040327
android10/Android-CleanArchitecture,105,5.142857,4.000000,4.670753,1.428571,1.000000,0.705162,6.723810,1.000000,23.217821
forezp/SpringCloudLearning,143,4.552448,4.000000,2.366665,1.048951,1.000000,0.216524,0.545455,0.000000,1.860362
java-decompiler/jd-gui,407,4.538084,3.000000,5.430519,2.417690,1.000000,2.338894,11.115479,1.000000,51.073297
facebook/fresco,1055,6.646445,5.000000,6.851302,1.418009,1.000000,0.893078,28.742180,0.000000,128.779314
Tencent/QMUI_Android,1066,5.468105,3.000000,6.563909,1.629456,1.000000,1.340112,35.342402,0.000000,197.898798
orhanobut/logger,18,5.833333,6.000000,3.053445,1.166667,1.000000,0.383482,14.944444,0.000000,35.586634
seaswalker/spring-analysis,33,2.424242,2.000000,2.646109,1.242424,1.000000,0.751262,1.787879,0.000000,3.189412
sqshq/piggymetrics,99,6.040404,5.000000,4.342291,1.060606,1.000000,0.239821,3.828283,0.000000,10.079318
cryptomator/cryptomator,443,8.316027,6.000000,7.773047,1.428894,1.000000,0.980015,18.530474,1.000000,64.029835
Bigkoo/Android-PickerView,91,3.725275,2.000000,5.057593,1.153846,1.000000,0.362800,15.494505,0.000000,90.563590
youth5201314/banner,73,6.082192,5.000000,6.157095,1.835616,2.000000,0.687461,47.684932,1.000000,350.898762
facebook/stetho,588,4.379252,3.000000,5.372405,1.423469,1.000000,1.248888,7.496599,0.000000,31.248059
greenrobot/greenDAO,364,5.019231,4.000000,4.693018,2.101648,1.000000,1.716264,47.453297,1.000000,241.283427
zhihu/Matisse,76,6.657895,5.000000,7.383861,1.394737,1.000000,0.634118,8.078947,0.000000,16.138371
neo4j/neo4j,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
pagehelper/Mybatis-PageHelper,181,5.812155,6.000000,4.901028,1.441989,1.000000,0.851929,29.640884,0.000000,190.394031
